"OBJECTID"	"ID"	"ID_METODO_GEOPOSICIONAMENTO"	"ALTITUDE"	"TOPONIMIA"	"ID_GEOLOGO"	"DATA_CADASTRO"	"DIMENSAO"	"ID_TIPO_AFLORAMENTO"	"DESCRICAO"	"NUMERO_CAMPO"	"ID_SUREG"	"ID_CATEGORIA"	"ID_FOLHA"	"SHAPE"
46037425	38	3		"Cerca de 1Km à noroeste do Povoado de Santa Terezinha"	364	15/12/05		8		"EB29"	0	2	1147	SDE.ST_POINT(1, 1, -40.8206283, -18.4874666, -40.8206283, -18.4874666, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@5da8df66')
46037441	39	3		"Cerca de 2.5Km à sudeste da Cidade de Ecoporanga"	364	15/12/05		8		"EB30"	0	2	1147	SDE.ST_POINT(1, 1, -40.8101739, -18.387048, -40.8101739, -18.387048, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1e642d2c')
46037457	185	3		"Cerca de 1 Km ao sul da Fazenda Senhor da Luz"	364	16/01/06		4		"EC145"	0	2	1147	SDE.ST_POINT(1, 1, -40.6559998, -18.0124992, -40.6559998, -18.0124992, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@583d4e9e')
46037473	186	3		"Cerca de 0,5 Km ao sul da Fazenda Divisa Alegre"	364	16/01/06		8		"EC146"	0	2	1147	SDE.ST_POINT(1, 1, -40.671626, -18.0161869, -40.671626, -18.0161869, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1eaf4d58')
46037489	187	3		"Cerca de 1 Km a sudoeste da Fazenda Córrego do Sal"	364	16/01/06		15		"EB46"	0	2	1147	SDE.ST_POINT(1, 1, -40.9682129, -18.2942075, -40.9682129, -18.2942075, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@567e204')
46037505	188	3		"Cerca de 3Km à sudoeste da Fazenda Córrego do Sal"	364	16/01/06		8		"EB47"	0	2	1147	SDE.ST_POINT(1, 1, -40.9682129, -18.2942075, -40.9682129, -18.2942075, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3a55a2c9')
46037521	189	3		"Dentro do Retiro da Fazenda Xangaia"	364	16/01/06		8		"EB48"	0	2	1147	SDE.ST_POINT(1, 1, -40.9850734, -18.2599388, -40.9850734, -18.2599388, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@82e52a3')
46037537	190	3		"Cerca de 1Km à leste do Retiro da Fazenda Xangaia"	364	16/01/06		8		"EB49"	0	2	1147	SDE.ST_POINT(1, 1, -40.9743667, -18.258839, -40.9743667, -18.258839, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6c0f1b73')
46037553	191	3		"Cerca de 1Km à norte da Vila de Cotaxé"	364	16/01/06		8		"EB50"	0	2	1147	SDE.ST_POINT(1, 1, -40.7200998, -18.1807638, -40.7200998, -18.1807638, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@5642b334')
46037569	192	3		"Cerca de 2Km à noroeste da Vila de Cotaxé"	364	17/01/06		8		"EB51"	0	2	1147	SDE.ST_POINT(1, 1, -40.7200998, -18.1807638, -40.7200998, -18.1807638, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@419600df')
46037585	193	3		"Cerca de 5 Km à sudoeste da Fazenda Juazeiro"	364	17/01/06		8		"EB52"	0	2	1147	SDE.ST_POINT(1, 1, -40.7254957, -18.1604224, -40.7254957, -18.1604224, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3b57f904')
